# function=Пилообразная f(x)=x N=20 FFT_points=512
x,f_x,fourier_sum,ifft_restored,error_fourier,error_ifft
-0.08184510,-0.02605210,-0.01061155,-0.02795435,0.01544055,0.00190224
-0.06925355,-0.02204409,-0.00669164,-0.02395416,0.01535244,0.00191007
-0.05666199,-0.01803607,-0.00378935,-0.01995397,0.01424672,0.00191790
-0.04407044,-0.01402806,-0.00183105,-0.01595378,0.01219700,0.00192573
-0.03147888,-0.01002004,-0.00068075,-0.01195359,0.00933929,0.00193355
-0.01888733,-0.00601202,-0.00014901,-0.00795341,0.00586302,0.00194138
-0.00629578,-0.00200401,-0.00000556,-0.00395322,0.00199845,0.00194921
0.00629578,0.00200401,0.00000556,0.00004697,0.00199845,0.00195704
0.01888733,0.00601202,0.00014901,0.00404716,0.00586302,0.00196487
0.03147888,0.01002004,0.00068075,0.00804734,0.00933929,0.00197270
0.04407044,0.01402806,0.00183105,0.01204753,0.01219700,0.00198052
0.05666199,0.01803607,0.00378935,0.01604772,0.01424672,0.00198835
0.06925355,0.02204409,0.00669164,0.02004791,0.01535244,0.00199618
0.08184510,0.02605210,0.01061155,0.02404810,0.01544055,0.00200401
0.09443665,0.03006012,0.01555539,0.02804828,0.01450473,0.00201184
0.10702821,0.03406814,0.02146175,0.03204847,0.01260639,0.00201966
0.11961976,0.03807615,0.02820547,0.03604866,0.00987068,0.00202749
0.13221131,0.04208417,0.03560594,0.04004885,0.00647823,0.00203532
0.14480287,0.04609218,0.04343892,0.04404904,0.00265326,0.00204315
0.15739442,0.05010020,0.05145138,0.04804922,0.00135118,0.00205098
0.16998598,0.05410822,0.05937819,0.05204941,0.00526998,0.00205881
0.18257753,0.05811623,0.06695961,0.05604960,0.00884338,0.00206663
0.19516908,0.06212425,0.07395849,0.06004979,0.01183424,0.00207446
0.20776064,0.06613226,0.08017594,0.06404997,0.01404367,0.00208229
0.22035219,0.07014028,0.08546457,0.06805016,0.01532429,0.00209012
0.23294374,0.07414830,0.08973825,0.07205035,0.01558995,0.00209795
0.24553530,0.07815631,0.09297793,0.07605054,0.01482162,0.00210577
0.25812685,0.08216433,0.09523296,0.08005073,0.01306863,0.00211360
0.27071841,0.08617234,0.09661794,0.08405091,0.01044560,0.00212143
0.28330996,0.09018036,0.09730527,0.08805110,0.00712491,0.00212926
0.29590151,0.09418838,0.09751383,0.09205129,0.00332545,0.00213709
0.30849307,0.09819639,0.09749456,0.09605148,0.00070183,0.00214491
0.32108462,0.10220441,0.09751399,0.10005167,0.00469042,0.00215274
0.33367617,0.10621242,0.09783659,0.10405185,0.00837583,0.00216057
0.34626773,0.11022044,0.09870731,0.10805204,0.01151314,0.00216840
0.35885928,0.11422846,0.10033530,0.11205223,0.01389315,0.00217623
0.37145083,0.11823647,0.10288008,0.11605242,0.01535640,0.00218406
0.38404239,0.12224449,0.10644077,0.12005261,0.01580372,0.00219188
0.39663394,0.12625251,0.11104948,0.12405279,0.01520302,0.00219971
0.40922550,0.13026052,0.11666901,0.12805298,0.01359151,0.00220754
0.42181705,0.13426854,0.12319509,0.13205317,0.01107345,0.00221537
0.43440860,0.13827655,0.13046316,0.13605336,0.00781339,0.00222320
0.44700016,0.14228457,0.13825907,0.14005354,0.00402550,0.00223102
0.45959171,0.14629259,0.14633312,0.14405373,0.00004053,0.00223885
0.47218326,0.15030060,0.15441645,0.14805392,0.00411585,0.00224668
0.48477482,0.15430862,0.16223882,0.15205411,0.00793020,0.00225451
0.49736637,0.15831663,0.16954643,0.15605430,0.01122980,0.00226234
